ID_transacao,data,corredor,valor_enviado,taxa_de_cambio,fee_percent,ID_cliente,cliente_recorrente,competitor_fee_percent
1,2024-01-15 04:00:00,Portugal -> Moçambique,326.06,67.8894,0.0312,C1622,True,
2,2024-08-11 10:00:00,Portugal -> Moçambique,965.24,68.1775,0.0449,C104,False,
3,2024-10-21 05:00:00,Reino Unido -> Quénia,634.96,157.314,0.0169,C2182,False,
4,2024-01-02 06:00:00,EUA -> Brasil,149.98,5.0777,0.031,C1890,False,
5,2024-09-13 23:00:00,EUA -> Brasil,416.13,5.248,0.03,C1634,True,
6,2024-03-07 09:00:00,EUA -> Brasil,86.56,5.0349,0.0199,C737,False,
7,2024-09-29 13:00:00,Portugal -> Moçambique,620.56,68.7815,0.0268,C2410,True,
8,2024-08-10 07:00:00,Portugal -> Moçambique,817.64,68.9339,0.0283,C274,False,
9,2024-12-30 23:00:00,EUA -> Brasil,394.17,5.1399,0.0183,C403,True,
10,2024-07-27 12:00:00,Reino Unido -> Quénia,217.33,155.3958,0.0186,C522,True,
11,2024-03-08 09:00:00,Portugal -> Moçambique,358.94,65.6207,0.0253,C2495,True,
12,2024-02-26 01:00:00,Portugal -> Moçambique,568.63,68.1024,0.0437,C585,True,
13,2024-10-02 03:00:00,Portugal -> Moçambique,833.3,68.2996,0.0394,C1345,True,
14,2024-12-13 22:00:00,Portugal -> Moçambique,304.85,65.9144,0.0281,C2749,True,
15,2024-03-22 03:00:00,Reino Unido -> Quénia,282.32,155.5893,0.018,C530,True,
16,2024-04-12 13:00:00,EUA -> Brasil,519.46,5.2691,0.0161,C2605,False,
17,2024-09-09 23:00:00,Portugal -> Moçambique,870.81,68.4646,0.0435,C19,True,
18,2024-12-25 13:00:00,EUA -> Brasil,376.93,5.4241,0.0161,C926,False,
19,2024-07-04 11:00:00,EUA -> Brasil,407.18,5.4556,0.0295,C2521,True,
20,2024-12-26 04:00:00,Portugal -> Moçambique,324.08,68.3021,0.0295,C2915,True,
21,2024-09-30 09:00:00,Reino Unido -> Quénia,910.01,150.6019,0.0127,C2141,True,
22,2024-11-02 11:00:00,EUA -> Brasil,501.5,5.2485,0.0267,C1651,True,
23,2024-05-11 19:00:00,Portugal -> Moçambique,992.08,65.9646,0.0427,C1006,True,
24,2024-04-10 05:00:00,EUA -> Brasil,95.74,5.0257,0.0158,C2661,False,
25,2024-04-01 18:00:00,Portugal -> Moçambique,186.54,68.2545,0.042,C661,True,
26,2024-07-08 17:00:00,Reino Unido -> Quénia,417.21,151.8497,0.0107,C1424,True,
